ICD10,PHECODE,Exl. Phecodes,Excl. Phenotypes
A00,8,001-009.99,Intestinal infection
A00.0,8,001-009.99,Intestinal infection
A00.1,8,001-009.99,Intestinal infection
A00.9,8,001-009.99,Intestinal infection
A01,8,001-009.99,Intestinal infection
A01.0,8.5,001-009.99,Intestinal infection
A01.1,8,001-009.99,Intestinal infection
A01.2,8,001-009.99,Intestinal infection
A01.3,8,001-009.99,Intestinal infection
A01.4,8,001-009.99,Intestinal infection
A02,8.5,001-009.99,Intestinal infection
A02.0,8.5,001-009.99,Intestinal infection
A02.1,38.1,010-041.99,bacterial infection
A02.2,8.5,001-009.99,Intestinal infection
A02.8,8.5,001-009.99,Intestinal infection
A02.9,8.5,001-009.99,Intestinal infection
A03,8.5,001-009.99,Intestinal infection
A03.0,8.5,001-009.99,Intestinal infection
A03.1,8.5,001-009.99,Intestinal infection
A03.2,8.5,001-009.99,Intestinal infection
A03.3,8.5,001-009.99,Intestinal infection
A03.8,8.5,001-009.99,Intestinal infection
A03.9,8.5,001-009.99,Intestinal infection
A04.0,8.51,001-009.99,Intestinal infection
A04.1,8.51,001-009.99,Intestinal infection
A04.2,8.51,001-009.99,Intestinal infection
A04.3,8.51,001-009.99,Intestinal infection
A04.4,8.51,001-009.99,Intestinal infection
A04.5,8.5,001-009.99,Intestinal infection
A04.6,8.5,001-009.99,Intestinal infection
A04.7,8.52,001-009.99,Intestinal infection
A04.8,8.5,001-009.99,Intestinal infection
A04.9,8.5,001-009.99,Intestinal infection
A05.0,8.5,001-009.99,Intestinal infection
A05.1,8.5,001-009.99,Intestinal infection
A05.2,8.5,001-009.99,Intestinal infection
A05.3,8.5,001-009.99,Intestinal infection
A05.4,8.5,001-009.99,Intestinal infection
A05.8,8.5,001-009.99,Intestinal infection
A05.9,8,001-009.99,Intestinal infection
A06,8,001-009.99,Intestinal infection
A06.0,8,001-009.99,Intestinal infection
A06.1,8.7,001-009.99,Intestinal infection
A06.2,8,001-009.99,Intestinal infection
A06.3,8,001-009.99,Intestinal infection
