Value	Coding	Meaning	counts	PheCODE	PheCode Meaning	Note										
1065	6	hypertension	130979	401	Hypertension											
1473	6	high cholesterol	61640	272.11	Hypercholesterolemia											
1111	6	asthma	58279	495	Asthma											
1465	6	osteoarthritis	40688	740	Osteoarthrosis											
1286	6	depression	28251	296.2	Depression											
1387	6	hayfever/allergic rhinitis	28150	476	Allergic rhinitis											
99999	6	unclassifiable	25692													
1226	6	hypothyroidism/myxoedema	24236	244	Hypothyroidism											
1220	6	diabetes	21724	250	Diabetes mellitus											
1138	6	gastro-oesophageal reflux (gord) / gastric reflux	20999	530.11	GERD											
1074	6	angina	16123	411	Ischemic Heart Disease											
1265	6	migraine	14387	340	Migraine											
1452	6	eczema/dermatitis	12564	939	Atopic/contact dermatitis due to other or unspecified											
1075	6	heart attack/myocardial infarction	11519	411.2	Myocardial infarction											
1154	6	irritable bowel syndrome	11491	564.1	Irritable Bowel Syndrome											
1474	6	hiatus hernia	11133	550.2	Diaphragmatic hernia											
1094	6	deep venous thrombosis (dvt)	9943	452.2	Deep vein thrombosis [DVT]											
1294	6	back problem	8839	722	Intervertebral disc disorders	most frequent & likely in older people										
1312	6	prolapsed disc/slipped disc	8192	722.1	Displacement of intervertebral disc											
1162	6	cholelithiasis/gall stones	8169	574	Cholelithiasis and cholecystitis											
1351	6	uterine fibroids	8064	218	Benign neoplasm of uterus											
1309	6	osteoporosis	8043	743.1	Osteoporosis											
1278	6	cataract	7316	366	Cataract											
1466	6	gout	6979	274.1	Gout											
1398	6	pneumonia	6916	480	Pneumonia											
1113	6	emphysema/chronic bronchitis	6813	496.1	Emphysema											
1287	6	anxiety/panic attacks	6725	300	Anxiety disorders											
1081	6	stroke	6692	433.21	"Cerebral artery occlusion, with cerebral infarction"											
1396	6	enlarged prostate	6564	600	Hyperplasia of prostate											
1464	6	rheumatoid arthritis	5658	714.1	Rheumatoid arthritis											
1453	6	psoriasis	5577	696	Psoriasis and related disorders											
1458	6	diverticular disease/diverticulitis	5402	562.2	Diverticulitis											
1277	6	glaucoma	5314	365	Glaucoma											
1476	6	sciatica	4686	764	Sciatica											
1415	6	ear/vestibular disorder	4269	386	Vertiginous syndromes and other disorders of vestibular system											
1502	6	appendicitis	4269	540.1	Appendicitis											
1386	6	allergy or anaphylactic reaction to drug	4257	979	Adverse drug events and drug allergies											
1436	6	headaches (not migraine)	4244	339	Other headache syndromes											
1311	6	spine arthritis/spondylitis	4239	715.2	Ankylosing spondylitis											
1349	6	ovarian cyst or cysts	4124	628	Ovarian cyst											
1093	6	pulmonary embolism  dvt	4117	415.11	"Pulmonary embolism and infarction, acute"											
1402	6	endometriosis	4057	615	Endometriosis											
1264	6	epilepsy	4054	345	"Epilepsy, recurrent seizures, convulsions"											
1538	6	arthritis (nos)	3932	740.1	Osteoarthritis; localized	most likely in older population of UKBB										
1297	6	muscle/soft tissue problem	3899	729	Other disorders of soft tissues	best guess										
1242	6	eye/eyelid problem	3884	374	Other disorders of eyelids	most likely										
1225	6	hyperthyroidism/thyrotoxicosis	3859	242	Thyrotoxicosis with or without goiter											
1197	6	kidney stone/ureter stone/bladder stone	3842	594	Urinary calculus											
1142	6	gastric/stomach ulcers	3655	531	Peptic ulcer (excl. esophageal)											
1471	6	atrial fibrillation	3653	427.2	Atrial fibrillation and flutter											
1412	6	bronchitis	3640	483	Acute bronchitis and bronchiolitis											
1406	6	muscle or soft tissue injuries	3565	870	Open wounds of head; neck; and trunk	best guess										
1374	6	allergy/hypersensitivity/anaphylaxis	3552	949	"Allergies, other"	assume here that most experiences an allergic reaction of some sorts and only few went into shock = 946 Anaphylactic shock NOS										
1478	6	cervical spondylosis	3447	721	Spondylosis and allied disorders											
1598	6	tonsiltis	3442	474	Acute and chronic tonsillitis											
1078	6	heart valve problem/heart murmur	3381	395	Heart valve disorders											
1223	6	type 2 diabetes	3376	250.2	Type 2 diabetes											
1416	6	chronic sinusitis	3103	475	Chronic sinusitis											
1467	6	other joint disorder	3065	716	Other arthropathies											
1330	6	iron deficiency anaemia	3030	280	Iron deficiency anemias											
1534	6	back pain	2962	760	Back pain											
1201	6	bladder problem (not cancer)	2946	596	Other disorders of bladder	closest										
1353	6	vaginal prolapse/uterine prolapse	2696	618.2	Uterine/Uterovaginal prolapse											
1077	6	heart arrhythmia	2663	427.5	Arrhythmia (cardiac) NOS											
