	file-startTime	file-deviceID	quality-goodCalibration	quality-goodWearTime	quality-daylightSavingsCrossover
2453686	2014-06-28 10:00:04	16390	1.0	1	0.0
4488268	2014-08-20 10:00:04	15993	1.0	1	0.0
2221955	2014-12-15 10:00:04	15267	1.0	1	0.0
3244534	2015-01-21 10:00:06	3048	1.0	1	0.0
3741694	2015-01-10 10:00:04	4751	1.0	1	0.0
3091234	2014-08-07 10:00:05	3930	1.0	1	0.0
2540080	2015-04-08 10:00:04	3444	1.0	1	0.0
3755995	2015-01-23 10:00:05	16204	1.0	1	0.0
3726808	2014-06-27 10:00:07	3690	1.0	1	0.0
2131031	2014-08-21 10:00:03	4026	1.0	1	1.0
1523507	2014-09-20 10:00:04	15902	1.0	1	0.0
1302071	2015-05-05 10:00:04	10513	1.0	1	0.0
5568661	2015-11-05 10:00:03	4390	1.0	1	0.0
1473056	2015-05-01 10:00:04	2125	1.0	1	0.0
1175153	2013-08-08 10:00:03	2589	1.0	1	0.0
5665621	2014-02-01 10:00:06	3412	1.0	1	0.0
2894151	2013-07-22 10:00:07	3914	1.0	1	0.0
1265830	2014-09-29 10:00:04	13870	1.0	1	0.0
3579094	2014-06-19 10:00:06	2850	1.0	1	0.0
3676723	2015-02-26 10:00:06	16254	1.0	1	0.0
2668809	2014-09-20 10:00:03	16119	1.0	1	0.0
4049730	2014-01-25 10:00:06	2808	1.0	1	0.0
1093523	2014-02-14 10:00:04	2134	1.0	1	0.0
1072727	2015-07-20 10:00:03	2906	1.0	1	0.0
5721107	2015-11-28 10:00:05	1721	1.0	1	0.0
2599249	2014-09-04 10:00:04	15642	1.0	1	0.0
4626216	2015-06-27 10:00:04	3502	1.0	1	0.0
5250849	2015-03-21 10:00:06	4390	1.0	1	0.0
1924187	2013-12-02 10:00:06	4925	1.0	1	0.0
5419291	2013-07-04 10:00:04	15393	1.0	1	0.0
3413481	2014-09-20 10:00:04	3215	1.0	1	0.0
2780594	2014-12-19 10:00:04	4084	1.0	1	0.0
2632679	2014-09-11 09:59:17	3733	1.0	1	0.0
1662078	2014-05-27 10:00:04	2767	1.0	1	0.0
2200968	2013-08-08 10:00:05	4955	1.0	1	0.0
4730255	2014-07-25 10:00:04	4382	1.0	1	0.0
3432273	2014-10-29 10:00:03	4947	1.0	1	0.0
2466258	2014-08-16 10:00:07	16090	1.0	1	0.0
4767444	2015-02-12 10:00:06	2744	1.0	1	0.0
3185562	2014-03-24 10:00:07	4168	0.0	1	0.0
5827022	2015-10-14 10:00:07	4351	1.0	1	0.0
1698975	2015-02-07 10:00:06	2677	1.0	1	0.0
2797318	2013-12-02 10:00:04	14760	1.0	1	0.0
3049821	2015-02-09 10:00:04	2747	1.0	1	0.0
5822424	2014-04-10 10:00:04	4817	1.0	1	1.0
3036204	2015-12-04 10:00:03	3438	1.0	0	0.0
1223383	2015-05-29 10:00:07	10349	1.0	1	0.0
3185693	2013-12-07 10:00:03	2215	1.0	1	0.0
