	file-startTime	file-deviceID	quality-goodCalibration	quality-goodWearTime	quality-daylightSavingsCrossover
3913062.1	2018-01-06 10:00:03	16163	1.0	0	0
3913062.2	2018-06-01 10:00:03	15390	1.0	1	0
3913062.3	2018-03-10 10:00:03	15488	1.0	1	0
3913062.4	2018-10-12 10:00:06	16487	1.0	0	0
1819408.1	2017-12-18 10:00:04	14618	1.0	1	0
1819408.2	2018-10-26 10:00:02	42835	1.0	1	0
1819408.3	2018-02-07 10:00:04	42383	1.0	0	0
1819408.4	2018-08-04 10:00:06	15473	1.0	1	0
3604678.1	2018-11-26 10:00:05	16176	1.0	1	0
3604678.2	2018-03-21 10:00:06	15746	0.0	1	0
3604678.3	2018-10-19 10:00:05	15401	1.0	1	0
3604678.4	2018-02-24 10:00:07	16209	1.0	1	0
4280296.1	2018-04-16 10:00:06	42293	1.0	1	0
4280296.2	2018-03-21 10:00:03	42373	1.0	1	0
4280296.3	2018-08-03 10:00:04	41800	1.0	1	0
4280296.4	2018-11-29 10:00:05	16294	1.0	1	0
4825950.1	2018-07-06 10:00:06	2692	1.0	1	0
4825950.2	2018-09-13 10:00:03	14207	1.0	1	0
4825950.3	2018-03-17 10:00:02	15228	1.0	1	0
4825950.4	2018-06-22 10:00:07	15405	0.0	0	0
4772956.1	2018-07-20 10:00:04	15644	1.0	1	0
4772956.2	2018-07-30 10:00:03	15459	1.0	1	0
4772956.3	2018-04-25 10:00:04	15740	1.0	1	0
4772956.4	2018-02-12 10:00:03	42442	0.0	1	1
5109647.1	2018-07-09 10:00:06	15997	1.0	0	0
5109647.2	2018-09-26 10:00:02	15869	1.0	1	0
5109647.3	2018-11-21 10:00:06	14703	1.0	0	0
5109647.4	2018-06-29 10:00:04	15839	1.0	1	0
3150195.1	2018-07-02 10:00:05	16192	1.0	1	0
3150195.2	2018-02-05 10:00:02	15669	1.0	1	0
3150195.3	2018-12-22 10:00:06	15223	1.0	0	0
3150195.4	2018-09-13 10:00:05	14670	1.0	1	0
5509381.1	2018-04-19 10:00:05	17345	1.0	1	0
5509381.2	2018-11-05 10:00:03	15777	1.0	1	0
5509381.3	2018-07-19 10:00:02	16312	1.0	1	1
5509381.4	2018-07-06 10:00:05	16229	1.0	1	0
3817613.1	2018-09-20 10:00:04	16161	1.0	1	0
3817613.2	2018-09-13 10:00:02	16492	1.0	0	0
3817613.3	2018-10-25 10:00:04	14492	1.0	1	0
3817613.4	2018-11-26 10:00:06	16231	1.0	1	0
4195636.1	2018-03-29 10:00:05	16304	1.0	1	0
4195636.2	2018-04-19 10:00:04	14775	1.0	1	0
4195636.3	2017-12-11 10:00:06	41859	1.0	1	0
4195636.4	2018-07-14 10:00:07	16136	1.0	1	0
5597414.1	2019-01-05 10:00:06	16390	1.0	1	0
5597414.2	2018-04-09 10:00:03	15760	1.0	1	0
5597414.3	2018-06-18 10:00:04	16108	1.0	1	0
5597414.4	2018-06-09 10:00:04	15873	1.0	1	0
1284357.1	2018-08-10 10:00:03	16323	1.0	1	0
1284357.2	2018-09-26 10:00:05	14686	1.0	1	0
1284357.3	2018-06-14 10:00:04	16392	1.0	1	0
1284357.4	2018-05-24 10:00:05	15356	1.0	1	0
4817559.1	2018-10-12 10:00:07	16501	1.0	1	0
4817559.2	2018-02-26 10:00:05	15788	1.0	1	0
4817559.3	2018-08-18 10:00:04	15448	1.0	1	0
4817559.4	2018-11-15 10:00:03	42847	1.0	1	0
2489722.1	2018-08-03 10:00:06	16135	1.0	0	0
2489722.2	2018-11-08 10:00:06	16256	1.0	1	0
2489722.3	2018-04-11 10:00:05	15489	1.0	1	0
2489722.4	2018-08-09 10:00:04	13549	1.0	1	0
4514572.1	2018-04-19 10:00:05	16158	1.0	1	0
4514572.2	2018-07-27 10:00:02	16321	1.0	1	0
4514572.3	2019-01-10 10:00:03	14748	1.0	0	0
4514572.4	2018-10-12 10:00:03	15978	1.0	1	0
5198976.1	2018-05-19 10:00:05	16177	1.0	1	0
5198976.2	2017-11-17 10:00:07	15635	1.0	1	0
5198976.3	2018-11-07 10:00:03	15615	1.0	1	0
5198976.4	2018-08-10 10:00:03	16517	1.0	1	0
5851463.1	2018-03-21 10:00:06	16199	1.0	1	0
5851463.2	2018-11-02 10:00:03	16160	1.0	1	0
5851463.3	2018-11-21 10:00:06	16411	0.0	1	0
5851463.4	2018-04-09 10:00:05	16419	1.0	1	0
1281029.1	2018-02-05 10:00:06	15349	1.0	1	0
1281029.2	2017-12-22 10:00:05	15533	1.0	1	0
1281029.3	2018-08-03 10:00:03	14707	1.0	1	0
1281029.4	2018-12-22 10:00:05	16401	1.0	1	0
3395799.1	2018-08-24 10:00:07	15638	1.0	1	0
3395799.2	2018-03-09 10:00:06	18086	1.0	1	0
3395799.3	2017-12-09 10:00:03	16076	1.0	1	0
3395799.4	2018-11-12 10:00:04	15929	1.0	1	0
2678006.1	2018-04-03 10:00:04	15978	1.0	1	0
2678006.2	2018-07-16 10:00:02	15667	1.0	1	0
2678006.3	2018-06-21 10:00:03	42753	1.0	1	0
2678006.4	2018-09-28 10:00:07	13602	1.0	1	0
5255778.1	2018-06-13 10:00:07	13797	1.0	1	0
5255778.2	2018-07-09 10:00:03	16158	1.0	1	0
5255778.3	2018-08-24 10:00:03	14834	1.0	1	0
5255778.4	2018-06-29 10:00:05	15904	1.0	1	0
4050773.1	2018-07-30 10:00:04	16400	1.0	1	0
4050773.2	2018-08-04 10:00:06	42341	0.0	1	0
4050773.3	2018-07-25 10:00:03	15854	1.0	1	0
4050773.4	2017-12-20 10:00:02	14798	1.0	1	0
5562209.1	2018-12-22 10:00:04	15533	1.0	1	0
5562209.2	2018-02-23 10:00:03	15352	1.0	0	0
5562209.3	2018-03-17 10:00:02	15686	0.0	1	0
5562209.4	2018-07-23 10:00:06	15248	1.0	1	0
2765540.1	2018-11-14 10:00:06	15571	1.0	1	0
2765540.2	2018-07-20 10:00:02	15958	1.0	0	0
2765540.3	2018-08-10 10:00:05	15794	1.0	1	0
2765540.4	2018-04-13 10:00:06	14658	1.0	1	0
5702183.1	2018-12-22 10:00:06	15735	1.0	1	0
5702183.2	2017-12-14 10:00:07	15988	1.0	1	0
5702183.3	2018-02-24 10:00:06	15598	1.0	1	0
5702183.4	2018-05-25 10:00:06	15712	1.0	1	0
3928589.1	2017-12-18 10:00:05	15671	1.0	1	0
3928589.2	2018-11-15 10:00:06	15605	1.0	0	0
3928589.3	2018-08-04 10:00:07	15368	1.0	1	0
3928589.4	2018-05-19 10:00:03	16277	1.0	1	0
2603753.1	2018-11-14 10:00:04	15975	1.0	1	0
2603753.2	2018-08-10 10:00:03	15359	1.0	1	0
2603753.3	2018-08-31 10:00:06	16286	0.0	1	0
2603753.4	2018-03-17 10:00:06	14728	1.0	1	0
1079207.1	2018-09-19 10:00:06	16507	1.0	1	0
1079207.2	2018-06-22 10:00:05	42471	1.0	0	0
1079207.3	2018-11-12 10:00:07	16373	1.0	0	0
1079207.4	2018-02-21 10:00:04	15710	1.0	1	0
1989588.1	2018-12-21 10:00:06	42441	1.0	1	0
1989588.2	2018-03-12 10:00:03	16257	1.0	1	0
1989588.3	2018-12-22 10:00:05	15538	1.0	1	0
1989588.4	2017-12-14 10:00:05	15899	1.0	1	0
2063913.1	2018-02-15 10:00:03	15249	1.0	1	0
